iter	Passed	Remaining
0	162	162657
1	164	82145
2	166	55282
3	170	42352
4	172	34236
5	173	28797
6	176	25064
7	179	22197
8	180	19904
9	182	18063
10	186	16733
11	189	15591
12	195	14877
13	198	13945
14	199	13115
15	201	12389
16	208	12041
17	210	11474
18	212	10963
19	231	11347
20	233	10887
21	235	10463
22	237	10077
23	239	9720
24	245	9580
25	248	9299
26	256	9241
27	258	8965
28	259	8704
29	276	8942
30	278	8699
31	280	8486
32	282	8282
33	285	8097
34	287	7921
35	289	7747
36	294	7675
37	296	7510
38	307	7578
39	309	7420
40	310	7271
41	312	7136
42	317	7065
43	320	6960
44	322	6836
45	323	6717
46	325	6604
47	333	6613
48	335	6510
49	337	6415
50	339	6313
51	341	6218
52	342	6127
53	344	6040
54	362	6222
55	363	6134
56	365	6049
57	367	5968
58	369	5890
59	371	5814
60	373	5745
61	376	5700
62	378	5634
63	380	5567
64	382	5504
65	384	5444
66	387	5396
67	389	5331
68	390	5271
69	392	5212
70	393	5154
71	396	5105
72	399	5070
73	401	5018
74	404	4987
75	407	4959
76	409	4913
77	411	4866
78	413	4818
79	415	4781
80	417	4735
81	418	4688
82	422	4664
83	423	4623
84	424	4573
85	426	4530
86	427	4482
87	428	4441
88	430	4407
89	432	4373
90	436	4358
91	439	4333
92	441	4301
93	442	4268
94	444	4236
95	446	4203
96	448	4171
97	450	4144
98	451	4111
99	453	4077
100	457	4074
101	458	4037
102	460	4008
103	464	4003
104	466	3976
105	469	3957
106	471	3931
107	472	3905
108	474	3879
109	476	3856
110	479	3838
111	481	3815
112	482	3791
113	484	3767
114	487	3748
115	488	3722
116	490	3702
117	492	3682
118	494	3657
119	496	3639
120	498	3618
121	503	3622
122	504	3594
123	505	3574
124	507	3553
125	509	3533
126	511	3513
127	512	3493
128	514	3476
129	516	3457
130	518	3440
131	520	3421
132	522	3403
133	526	3405
134	528	3388
135	530	3372
136	532	3356
137	534	3336
138	535	3318
139	538	3305
140	540	3293
141	542	3277
142	544	3261
143	554	3296
144	564	3328
145	566	3312
146	568	3296
147	569	3280
148	572	3271
149	574	3257
150	578	3251
151	580	3236
152	585	3241
153	587	3225
154	588	3210
155	594	3215
156	596	3202
157	598	3187
158	599	3172
159	601	3158
160	604	3151
161	606	3137
162	609	3127
163	611	3115
164	613	3102
165	614	3088
166	618	3083
167	620	3072
168	622	3060
169	624	3047
170	625	3034
171	629	3031
172	631	3019
173	643	3055
174	645	3043
175	652	3053
176	654	3044
177	658	3040
178	661	3035
179	664	3026
180	665	3013
181	667	3001
182	677	3025
183	679	3013
184	682	3007
185	685	2998
186	687	2986
187	689	2976
188	691	2965
189	692	2954
190	695	2945
191	697	2934
192	699	2923
193	712	2961
194	714	2951
195	716	2940
196	718	2928
197	720	2916
198	722	2908
199	724	2897
